kind,path,found,sha256,matches_expected,note
tracked_gha,C:\Users\miaoshiyu\Documents\【citylbm】实验3：数字孪生应用研究\CityLBM\bin\CityLBM.gha,True,5874c50f46704a296f34811492b1acae8fc55a94e700f99afb57f0c52c1f6e07,True,tracked release asset
rhino_executable,C:\Program Files\Rhino 8\System\Rhino.exe,False,,False,candidate Rhino executable
rhino_executable,C:\Program Files\Rhino 7\System\Rhino.exe,True,ef29f29e041205943dcdd8d87a3e572453200000a431e3a8b5b4d5b14a9a2841,False,candidate Rhino executable
rhino_executable,C:\Program Files\Rhino 6\System\Rhino.exe,False,,False,candidate Rhino executable
rhino_executable,C:\Program Files\McNeel\Rhino 8\System\Rhino.exe,False,,False,candidate Rhino executable
rhino_executable,C:\Program Files\McNeel\Rhino 7\System\Rhino.exe,False,,False,candidate Rhino executable
staged_gha,C:\Users\miaoshiyu\AppData\Roaming\Grasshopper\Libraries\CityLBM.gha,True,5874c50f46704a296f34811492b1acae8fc55a94e700f99afb57f0c52c1f6e07,True,candidate staged GHA
grasshopper_library,C:\Users\miaoshiyu\AppData\Roaming\McNeel\Rhinoceros\8.0\Plug-ins\Grasshopper\Libraries,False,,False,library directory missing
grasshopper_library,C:\Users\miaoshiyu\AppData\Roaming\McNeel\Rhinoceros\7.0\Plug-ins\Grasshopper\Libraries,False,,False,library directory missing
grasshopper_library,C:\Users\miaoshiyu\AppData\Local\McNeel\Rhinoceros\8.0\Plug-ins\Grasshopper\Libraries,False,,False,library directory missing
